freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.366e+01,8.118e+01,2.998e+02,3.946e+02
1.6,1.834e+01,5.793e+01,1.892e+02,2.654e+02
3.2,1.342e+01,1.616e+01,3.888e+01,6.847e+01
4.7,1.330e+01,1.651e+01,3.321e+02,3.619e+02
6.3,1.414e+01,1.705e+01,1.130e+03,1.161e+03
7.9,1.459e+01,1.565e+01,2.060e+03,2.090e+03
9.5,1.530e+01,1.443e+01,2.487e+03,2.516e+03
11.1,1.714e+01,1.538e+01,3.404e+03,3.436e+03
12.6,1.664e+01,1.604e+01,5.114e+03,5.147e+03
14.2,1.472e+01,1.542e+01,7.820e+03,7.850e+03
15.8,1.546e+01,1.742e+01,1.111e+04,1.114e+04
17.4,1.916e+01,2.506e+01,1.503e+04,1.507e+04
19.0,2.059e+01,3.466e+01,1.997e+04,2.003e+04
20.5,2.995e+01,3.777e+01,2.580e+04,2.586e+04
22.1,1.688e+02,7.509e+01,3.167e+04,3.191e+04
23.7,5.523e+02,2.952e+02,3.651e+04,3.736e+04
25.3,5.636e+02,4.814e+02,3.529e+04,3.634e+04
26.9,2.255e+02,3.214e+02,2.986e+04,3.041e+04
28.5,5.553e+01,1.399e+02,3.458e+04,3.477e+04
30.0,2.374e+01,1.182e+02,4.727e+04,4.741e+04
31.6,4.022e+01,2.986e+02,7.010e+04,7.044e+04
33.2,7.636e+01,1.245e+03,1.153e+05,1.166e+05
34.8,8.162e+01,4.222e+03,1.997e+05,2.040e+05
36.4,5.430e+01,1.087e+04,3.057e+05,3.166e+05
37.9,6.351e+01,1.763e+04,3.693e+05,3.869e+05
39.5,1.031e+02,2.082e+04,3.659e+05,3.869e+05
41.1,2.259e+02,2.227e+04,3.306e+05,3.531e+05
42.7,3.510e+02,2.255e+04,2.794e+05,3.023e+05
44.3,4.186e+02,2.151e+04,2.247e+05,2.466e+05
45.8,5.350e+02,2.073e+04,1.790e+05,2.003e+05
47.4,6.190e+02,2.045e+04,1.447e+05,1.657e+05
49.0,7.651e+02,2.068e+04,1.205e+05,1.419e+05
50.6,1.576e+03,2.208e+04,1.055e+05,1.292e+05
52.2,5.001e+03,2.251e+04,1.182e+05,1.457e+05
53.7,1.565e+04,2.071e+04,2.093e+05,2.456e+05
55.3,2.475e+04,2.407e+04,3.309e+05,3.797e+05
56.9,2.469e+04,2.783e+04,3.374e+05,3.899e+05
58.5,2.196e+04,2.158e+04,2.764e+05,3.200e+05
60.1,1.661e+04,1.408e+04,2.266e+05,2.573e+05
61.6,1.079e+04,1.089e+04,1.847e+05,2.064e+05
63.2,6.404e+03,1.000e+04,1.562e+05,1.727e+05
64.8,3.885e+03,1.025e+04,1.342e+05,1.484e+05
66.4,2.395e+03,1.177e+04,1.185e+05,1.327e+05
68.0,1.421e+03,1.349e+04,1.098e+05,1.247e+05
69.5,8.630e+02,1.399e+04,1.035e+05,1.184e+05
71.1,6.914e+02,1.496e+04,9.966e+04,1.153e+05
72.7,6.009e+02,1.904e+04,1.010e+05,1.206e+05
74.3,5.556e+02,2.291e+04,9.987e+04,1.233e+05
75.9,6.451e+02,2.719e+04,9.676e+04,1.246e+05
77.4,7.723e+02,3.157e+04,9.150e+04,1.238e+05
79.0,9.382e+02,3.490e+04,8.598e+04,1.218e+05
80.6,1.172e+03,3.782e+04,8.150e+04,1.205e+05
82.2,1.607e+03,4.131e+04,7.821e+04,1.211e+05
83.8,2.317e+03,4.525e+04,7.643e+04,1.240e+05
85.4,3.342e+03,5.039e+04,7.614e+04,1.299e+05
86.9,5.180e+03,5.702e+04,7.660e+04,1.388e+05
88.5,7.745e+03,6.573e+04,7.809e+04,1.516e+05
90.1,1.077e+04,7.487e+04,8.008e+04,1.657e+05
91.7,1.436e+04,8.420e+04,8.265e+04,1.812e+05
93.3,1.830e+04,9.615e+04,8.692e+04,2.014e+05
94.8,2.266e+04,1.122e+05,9.269e+04,2.276e+05
96.4,2.830e+04,1.342e+05,9.935e+04,2.618e+05
98.0,3.563e+04,1.612e+05,1.049e+05,3.017e+05
99.6,4.440e+04,1.859e+05,1.056e+05,3.359e+05
