freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.152e+02,1.447e+01,2.649e+01,3.561e+02
1.6,1.848e+02,1.908e+01,3.646e+01,2.403e+02
3.2,2.757e+01,1.714e+01,2.729e+01,7.200e+01
4.7,3.605e+02,1.697e+01,2.877e+01,4.063e+02
6.3,1.192e+03,1.852e+01,2.788e+01,1.239e+03
7.9,2.032e+03,1.838e+01,2.906e+01,2.080e+03
9.5,2.913e+03,2.337e+01,3.024e+01,2.967e+03
11.1,3.391e+03,2.179e+01,2.914e+01,3.442e+03
12.7,4.536e+03,1.776e+01,3.074e+01,4.585e+03
14.2,6.027e+03,1.750e+01,3.058e+01,6.075e+03
15.8,7.625e+03,1.748e+01,3.114e+01,7.674e+03
17.4,9.483e+03,1.950e+01,3.427e+01,9.537e+03
19.0,1.190e+04,2.972e+01,3.800e+01,1.197e+04
20.6,1.393e+04,4.868e+01,7.437e+01,1.405e+04
22.1,1.618e+04,4.819e+01,1.391e+02,1.637e+04
23.7,1.850e+04,9.060e+01,1.698e+02,1.876e+04
25.3,2.020e+04,1.206e+02,1.071e+02,2.043e+04
26.9,2.378e+04,7.901e+01,8.554e+01,2.395e+04
28.5,2.816e+04,5.688e+01,1.038e+02,2.832e+04
30.1,3.314e+04,4.625e+01,1.403e+02,3.333e+04
31.6,3.904e+04,3.931e+01,1.909e+02,3.927e+04
33.2,4.563e+04,4.597e+01,3.311e+02,4.601e+04
34.8,5.413e+04,5.911e+01,5.419e+02,5.473e+04
36.4,6.325e+04,8.505e+01,8.063e+02,6.414e+04
38.0,7.374e+04,1.103e+02,8.566e+02,7.471e+04
39.5,8.816e+04,1.140e+02,9.132e+02,8.919e+04
41.1,1.108e+05,1.539e+02,1.513e+03,1.124e+05
42.7,1.430e+05,3.372e+02,2.895e+03,1.463e+05
44.3,1.774e+05,8.729e+02,7.021e+03,1.853e+05
45.9,2.233e+05,1.484e+03,1.177e+04,2.366e+05
47.5,2.594e+05,1.396e+03,9.584e+03,2.704e+05
49.0,2.972e+05,1.163e+03,4.274e+03,3.026e+05
50.6,3.532e+05,1.332e+03,5.134e+03,3.596e+05
52.2,3.671e+05,1.446e+03,1.107e+04,3.796e+05
53.8,3.510e+05,1.536e+03,1.577e+04,3.683e+05
55.4,3.429e+05,1.738e+03,2.422e+04,3.689e+05
56.9,2.747e+05,1.630e+03,2.819e+04,3.045e+05
58.5,1.864e+05,1.503e+03,2.623e+04,2.141e+05
60.1,1.296e+05,2.323e+03,2.852e+04,1.605e+05
61.7,9.515e+04,2.691e+03,2.981e+04,1.276e+05
63.3,7.235e+04,2.350e+03,2.667e+04,1.014e+05
64.9,6.004e+04,2.650e+03,2.574e+04,8.843e+04
66.4,5.487e+04,2.882e+03,2.639e+04,8.414e+04
68.0,5.345e+04,2.822e+03,2.454e+04,8.081e+04
69.6,5.734e+04,3.005e+03,2.362e+04,8.397e+04
71.2,6.466e+04,3.100e+03,2.446e+04,9.222e+04
72.8,8.138e+04,3.281e+03,2.858e+04,1.132e+05
74.3,1.107e+05,3.406e+03,3.519e+04,1.492e+05
75.9,1.495e+05,3.704e+03,4.260e+04,1.958e+05
77.5,2.012e+05,3.888e+03,4.847e+04,2.535e+05
79.1,2.727e+05,4.142e+03,5.369e+04,3.305e+05
80.7,3.786e+05,4.364e+03,6.016e+04,4.431e+05
82.3,5.551e+05,4.893e+03,6.862e+04,6.286e+05
83.8,7.751e+05,6.087e+03,7.991e+04,8.611e+05
85.4,9.898e+05,7.966e+03,9.249e+04,1.090e+06
87.0,1.223e+06,1.086e+04,1.066e+05,1.341e+06
88.6,1.515e+06,1.489e+04,1.215e+05,1.651e+06
90.2,1.814e+06,1.906e+04,1.337e+05,1.967e+06
91.7,1.967e+06,2.221e+04,1.358e+05,2.125e+06
93.3,1.935e+06,2.427e+04,1.275e+05,2.087e+06
94.9,1.727e+06,2.562e+04,1.125e+05,1.865e+06
96.5,1.363e+06,2.914e+04,9.654e+04,1.488e+06
98.1,1.093e+06,3.307e+04,8.687e+04,1.213e+06
99.7,9.415e+05,3.047e+04,7.578e+04,1.048e+06
101.2,7.858e+05,2.395e+04,5.976e+04,8.695e+05
102.8,7.069e+05,2.072e+04,4.982e+04,7.775e+05
104.4,6.162e+05,1.764e+04,4.000e+04,6.739e+05
106.0,5.087e+05,1.408e+04,2.950e+04,5.523e+05
107.6,4.417e+05,1.372e+04,2.313e+04,4.785e+05
109.1,3.875e+05,1.503e+04,1.877e+04,4.213e+05
110.7,3.397e+05,1.943e+04,1.551e+04,3.746e+05
112.3,2.898e+05,2.586e+04,1.125e+04,3.269e+05
113.9,2.742e+05,2.822e+04,5.442e+03,3.078e+05
115.5,2.727e+05,3.061e+04,1.944e+03,3.053e+05
117.1,2.428e+05,3.269e+04,9.493e+02,2.765e+05
118.6,2.342e+05,4.029e+04,1.386e+03,2.759e+05
120.2,2.755e+05,5.936e+04,4.899e+03,3.398e+05
121.8,3.519e+05,8.256e+04,1.340e+04,4.478e+05
123.4,3.898e+05,9.612e+04,2.058e+04,5.065e+05
125.0,4.190e+05,1.180e+05,2.972e+04,5.668e+05
126.5,4.509e+05,1.445e+05,4.104e+04,6.365e+05
128.1,5.054e+05,1.727e+05,5.403e+04,7.321e+05
129.7,5.807e+05,2.044e+05,6.745e+04,8.525e+05
131.3,6.345e+05,2.228e+05,7.716e+04,9.344e+05
132.9,4.354e+05,1.512e+05,5.482e+04,6.414e+05
134.5,7.345e+04,2.818e+04,9.827e+03,1.115e+05
136.0,1.933e+04,1.010e+04,3.256e+03,3.269e+04
137.6,1.925e+04,9.679e+03,3.384e+03,3.231e+04
139.2,1.883e+04,9.100e+03,3.495e+03,3.142e+04
140.8,1.796e+04,8.371e+03,3.466e+03,2.980e+04
142.4,1.742e+04,7.485e+03,3.403e+03,2.830e+04
143.9,1.672e+04,7.045e+03,3.382e+03,2.714e+04
145.5,1.532e+04,7.107e+03,3.269e+03,2.569e+04
147.1,1.429e+04,7.499e+03,3.319e+03,2.511e+04
148.7,1.390e+04,8.845e+03,3.709e+03,2.645e+04
150.3,1.368e+04,1.020e+04,4.106e+03,2.799e+04
151.8,1.111e+04,9.333e+03,3.800e+03,2.424e+04
153.4,8.308e+03,8.019e+03,3.251e+03,1.958e+04
155.0,7.054e+03,7.082e+03,2.675e+03,1.681e+04
156.6,6.001e+03,5.725e+03,2.094e+03,1.382e+04
158.2,5.096e+03,4.485e+03,1.682e+03,1.126e+04
159.8,4.499e+03,4.049e+03,1.559e+03,1.011e+04
161.3,3.883e+03,4.055e+03,1.529e+03,9.467e+03
162.9,3.405e+03,3.552e+03,1.385e+03,8.342e+03
164.5,3.206e+03,2.957e+03,1.176e+03,7.338e+03
166.1,2.825e+03,2.618e+03,1.001e+03,6.445e+03
167.7,2.514e+03,2.125e+03,7.873e+02,5.426e+03
169.2,2.582e+03,1.593e+03,5.862e+02,4.762e+03
170.8,3.635e+03,1.126e+03,4.423e+02,5.203e+03
