freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.525e+02,9.911e+00,6.090e+01,7.233e+02
1.6,3.918e+02,2.516e+01,6.454e+01,4.815e+02
3.1,5.299e+02,2.832e+01,1.128e+03,1.686e+03
4.7,8.082e+02,2.904e+01,2.902e+03,3.739e+03
6.2,1.317e+03,3.240e+01,3.811e+03,5.160e+03
7.8,2.215e+03,4.062e+01,5.851e+03,8.106e+03
9.4,3.498e+03,8.363e+01,1.589e+03,5.170e+03
10.9,4.409e+03,1.327e+02,1.753e+02,4.717e+03
12.5,4.675e+03,8.738e+01,8.824e+01,4.850e+03
14.0,5.785e+03,5.400e+01,6.155e+01,5.900e+03
15.6,7.269e+03,5.118e+01,6.886e+01,7.389e+03
17.2,8.704e+03,5.121e+01,8.847e+01,8.844e+03
18.7,1.115e+04,7.174e+01,1.009e+02,1.132e+04
20.3,1.391e+04,1.032e+02,1.144e+02,1.412e+04
21.8,1.636e+04,1.499e+02,1.838e+02,1.669e+04
23.4,1.847e+04,2.279e+02,1.955e+02,1.889e+04
25.0,2.037e+04,2.841e+02,1.452e+02,2.080e+04
26.5,2.300e+04,2.839e+02,1.145e+02,2.340e+04
28.1,2.670e+04,2.244e+02,1.071e+02,2.703e+04
29.7,3.103e+04,1.766e+02,1.510e+02,3.135e+04
31.2,3.555e+04,1.553e+02,2.093e+02,3.591e+04
32.8,3.896e+04,1.439e+02,2.867e+02,3.939e+04
34.3,4.317e+04,1.373e+02,3.984e+02,4.371e+04
35.9,4.846e+04,1.277e+02,5.446e+02,4.914e+04
37.5,5.585e+04,8.718e+01,6.133e+02,5.655e+04
39.0,6.439e+04,8.127e+01,6.873e+02,6.516e+04
40.6,7.566e+04,1.270e+02,1.190e+03,7.698e+04
42.1,9.220e+04,1.775e+02,2.062e+03,9.444e+04
43.7,1.069e+05,2.123e+02,2.932e+03,1.100e+05
45.3,1.223e+05,2.322e+02,3.851e+03,1.264e+05
46.8,1.464e+05,3.341e+02,5.502e+03,1.523e+05
48.4,1.782e+05,6.380e+02,8.176e+03,1.870e+05
49.9,2.168e+05,9.641e+02,9.591e+03,2.274e+05
51.5,2.863e+05,8.081e+02,6.824e+03,2.939e+05
53.1,4.223e+05,5.814e+02,6.579e+03,4.295e+05
54.6,6.838e+05,7.054e+02,1.164e+04,6.961e+05
56.2,1.223e+06,2.088e+03,1.585e+04,1.241e+06
57.7,2.124e+06,6.645e+03,1.692e+04,2.148e+06
59.3,3.307e+06,1.124e+04,1.667e+04,3.335e+06
60.9,3.620e+06,1.148e+04,1.766e+04,3.649e+06
62.4,2.597e+06,8.072e+03,1.596e+04,2.621e+06
64.0,1.581e+06,5.496e+03,1.409e+04,1.600e+06
65.5,9.773e+05,4.222e+03,1.419e+04,9.957e+05
67.1,5.897e+05,2.903e+03,1.389e+04,6.065e+05
68.7,3.378e+05,1.740e+03,1.173e+04,3.513e+05
70.2,2.084e+05,1.327e+03,1.102e+04,2.207e+05
71.8,1.360e+05,1.645e+03,1.160e+04,1.493e+05
73.4,9.187e+04,2.261e+03,1.292e+04,1.071e+05
74.9,6.477e+04,2.553e+03,1.377e+04,8.109e+04
76.5,4.595e+04,2.468e+03,1.415e+04,6.257e+04
78.0,3.170e+04,2.173e+03,1.464e+04,4.852e+04
79.6,2.347e+04,1.937e+03,1.505e+04,4.046e+04
81.2,1.936e+04,2.007e+03,1.601e+04,3.738e+04
82.7,1.937e+04,2.509e+03,1.795e+04,3.983e+04
84.3,2.076e+04,2.820e+03,1.863e+04,4.221e+04
85.8,2.310e+04,2.925e+03,1.835e+04,4.437e+04
87.4,2.807e+04,3.260e+03,1.876e+04,5.008e+04
89.0,3.622e+04,3.805e+03,2.017e+04,6.019e+04
