freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.439e+01,9.690e+01,3.333e+02,4.446e+02
1.6,1.798e+01,6.461e+01,2.058e+02,2.884e+02
3.2,1.481e+01,1.488e+01,3.540e+01,6.510e+01
4.7,1.394e+01,1.424e+01,3.341e+02,3.623e+02
6.3,1.307e+01,1.590e+01,1.191e+03,1.220e+03
7.9,1.289e+01,1.688e+01,1.867e+03,1.896e+03
9.5,1.360e+01,1.477e+01,2.482e+03,2.510e+03
11.1,1.470e+01,1.528e+01,3.622e+03,3.652e+03
12.6,1.462e+01,1.474e+01,5.257e+03,5.286e+03
14.2,1.530e+01,1.519e+01,7.990e+03,8.021e+03
15.8,1.444e+01,1.607e+01,1.164e+04,1.167e+04
17.4,1.656e+01,1.782e+01,1.544e+04,1.547e+04
19.0,4.671e+01,2.616e+01,2.033e+04,2.040e+04
20.6,1.330e+02,7.317e+01,2.345e+04,2.366e+04
22.1,1.889e+02,1.297e+02,2.474e+04,2.506e+04
23.7,1.754e+02,1.566e+02,2.674e+04,2.707e+04
25.3,6.346e+01,8.794e+01,3.150e+04,3.165e+04
26.9,2.146e+01,6.177e+01,4.288e+04,4.296e+04
28.5,2.419e+01,1.384e+02,6.160e+04,6.177e+04
30.0,4.574e+01,4.123e+02,9.459e+04,9.505e+04
31.6,5.433e+01,7.597e+02,1.356e+05,1.364e+05
33.2,8.235e+01,7.121e+02,1.595e+05,1.603e+05
34.8,1.029e+02,1.384e+03,2.149e+05,2.164e+05
36.4,1.457e+02,4.633e+03,3.384e+05,3.432e+05
37.9,1.603e+02,1.149e+04,5.107e+05,5.223e+05
39.5,9.189e+01,1.759e+04,5.602e+05,5.779e+05
41.1,6.327e+01,2.044e+04,4.959e+05,5.164e+05
42.7,7.735e+01,2.048e+04,4.023e+05,4.228e+05
44.3,1.284e+02,1.839e+04,3.067e+05,3.253e+05
45.8,1.982e+02,1.611e+04,2.293e+05,2.456e+05
47.4,5.078e+02,1.471e+04,1.803e+05,1.955e+05
49.0,1.222e+03,1.412e+04,1.538e+05,1.691e+05
50.6,1.355e+03,1.362e+04,1.398e+05,1.548e+05
52.2,1.867e+03,1.236e+04,1.405e+05,1.547e+05
53.7,4.726e+03,1.191e+04,1.647e+05,1.813e+05
55.3,5.731e+03,1.315e+04,2.024e+05,2.213e+05
56.9,5.252e+03,1.115e+04,2.016e+05,2.180e+05
58.5,4.534e+03,9.446e+03,1.778e+05,1.918e+05
60.1,2.721e+03,1.118e+04,1.612e+05,1.751e+05
61.7,1.150e+03,1.216e+04,1.373e+05,1.506e+05
63.2,6.093e+02,1.169e+04,1.111e+05,1.234e+05
64.8,4.335e+02,1.334e+04,9.968e+04,1.135e+05
66.4,3.978e+02,1.692e+04,9.651e+04,1.138e+05
68.0,4.809e+02,1.888e+04,9.156e+04,1.109e+05
69.6,4.811e+02,2.028e+04,8.772e+04,1.085e+05
71.1,4.431e+02,2.118e+04,8.214e+04,1.038e+05
72.7,3.413e+02,2.387e+04,7.753e+04,1.017e+05
74.3,3.963e+02,2.848e+04,7.532e+04,1.042e+05
75.9,5.826e+02,3.438e+04,7.524e+04,1.102e+05
77.5,8.539e+02,3.977e+04,7.507e+04,1.157e+05
79.0,1.439e+03,4.454e+04,7.606e+04,1.220e+05
80.6,2.115e+03,5.185e+04,7.992e+04,1.339e+05
