freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.271e+02,2.056e+01,4.091e+01,4.886e+02
1.6,2.604e+02,3.574e+01,5.870e+01,3.548e+02
3.1,4.688e+01,3.134e+01,4.885e+01,1.271e+02
4.7,3.688e+02,2.936e+01,4.858e+01,4.468e+02
6.3,1.177e+03,2.847e+01,4.357e+01,1.249e+03
7.9,1.978e+03,3.041e+01,4.318e+01,2.052e+03
9.4,2.949e+03,3.840e+01,4.345e+01,3.031e+03
11.0,3.551e+03,3.828e+01,4.256e+01,3.632e+03
12.6,4.621e+03,2.938e+01,4.079e+01,4.691e+03
14.1,6.049e+03,2.874e+01,3.800e+01,6.116e+03
15.7,7.601e+03,2.772e+01,4.061e+01,7.670e+03
17.3,9.360e+03,2.884e+01,4.107e+01,9.430e+03
18.9,1.154e+04,3.108e+01,4.569e+01,1.162e+04
20.4,1.410e+04,3.946e+01,4.923e+01,1.419e+04
22.0,1.692e+04,5.246e+01,6.558e+01,1.704e+04
23.6,1.972e+04,7.699e+01,8.247e+01,1.988e+04
25.1,2.212e+04,9.229e+01,8.230e+01,2.230e+04
26.7,2.479e+04,9.486e+01,7.242e+01,2.496e+04
28.3,2.817e+04,8.894e+01,9.260e+01,2.835e+04
29.9,3.160e+04,7.163e+01,1.431e+02,3.181e+04
31.4,3.451e+04,6.415e+01,1.757e+02,3.475e+04
33.0,3.932e+04,7.145e+01,1.992e+02,3.959e+04
34.6,4.725e+04,6.997e+01,2.576e+02,4.757e+04
36.1,5.668e+04,9.265e+01,4.103e+02,5.718e+04
37.7,6.781e+04,1.333e+02,7.423e+02,6.869e+04
39.3,7.924e+04,1.576e+02,1.542e+03,8.094e+04
40.9,9.526e+04,1.974e+02,2.941e+03,9.839e+04
42.4,1.157e+05,2.906e+02,4.487e+03,1.205e+05
44.0,1.348e+05,4.571e+02,5.140e+03,1.404e+05
45.6,1.672e+05,7.724e+02,6.087e+03,1.740e+05
47.1,2.169e+05,1.048e+03,7.309e+03,2.253e+05
48.7,2.764e+05,6.270e+02,4.398e+03,2.815e+05
50.3,3.779e+05,3.598e+02,3.375e+03,3.816e+05
51.9,5.150e+05,6.149e+02,9.437e+03,5.251e+05
53.4,6.537e+05,1.525e+03,3.054e+04,6.858e+05
55.0,6.765e+05,2.685e+03,5.992e+04,7.391e+05
56.6,4.999e+05,2.455e+03,6.640e+04,5.688e+05
58.1,3.156e+05,1.751e+03,5.321e+04,3.706e+05
59.7,2.032e+05,2.242e+03,4.531e+04,2.507e+05
61.3,1.334e+05,3.315e+03,4.561e+04,1.823e+05
62.9,9.257e+04,4.042e+03,4.580e+04,1.424e+05
64.4,6.843e+04,4.180e+03,4.340e+04,1.160e+05
66.0,5.178e+04,3.912e+03,3.855e+04,9.425e+04
67.6,4.015e+04,3.462e+03,3.110e+04,7.471e+04
69.1,3.629e+04,3.181e+03,2.616e+04,6.562e+04
70.7,3.924e+04,3.001e+03,2.464e+04,6.688e+04
72.3,4.520e+04,3.079e+03,2.615e+04,7.443e+04
73.9,5.659e+04,3.211e+03,3.065e+04,9.045e+04
75.4,7.746e+04,3.006e+03,3.391e+04,1.144e+05
77.0,1.043e+05,3.179e+03,3.753e+04,1.450e+05
78.6,1.353e+05,3.453e+03,4.128e+04,1.801e+05
80.1,1.784e+05,3.537e+03,4.535e+04,2.273e+05
81.7,2.493e+05,3.880e+03,5.104e+04,3.042e+05
83.3,3.484e+05,4.981e+03,5.701e+04,4.104e+05
84.9,4.413e+05,6.443e+03,6.324e+04,5.110e+05
86.4,5.274e+05,8.152e+03,6.911e+04,6.047e+05
88.0,6.277e+05,1.046e+04,7.589e+04,7.140e+05
89.6,7.647e+05,1.370e+04,8.560e+04,8.640e+05
91.1,9.854e+05,1.851e+04,1.015e+05,1.105e+06
92.7,1.292e+06,2.494e+04,1.208e+05,1.438e+06
94.3,1.571e+06,3.380e+04,1.353e+05,1.740e+06
95.9,1.659e+06,4.663e+04,1.398e+05,1.846e+06
97.4,1.641e+06,6.541e+04,1.445e+05,1.851e+06
99.0,1.757e+06,8.720e+04,1.580e+05,2.002e+06
100.6,1.862e+06,1.010e+05,1.640e+05,2.127e+06
102.2,1.771e+06,1.030e+05,1.516e+05,2.026e+06
103.7,1.488e+06,9.123e+04,1.217e+05,1.701e+06
105.3,1.021e+06,7.042e+04,8.430e+04,1.176e+06
106.9,7.238e+05,7.972e+04,7.185e+04,8.753e+05
