freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.995e+02,1.706e+01,3.914e+01,3.557e+02
1.6,1.843e+02,3.376e+01,5.676e+01,2.748e+02
3.1,4.429e+01,3.012e+01,4.668e+01,1.211e+02
4.7,3.662e+02,3.115e+01,4.717e+01,4.445e+02
6.3,1.180e+03,3.411e+01,4.540e+01,1.260e+03
7.9,1.940e+03,3.235e+01,4.923e+01,2.021e+03
9.4,2.830e+03,3.417e+01,4.483e+01,2.909e+03
11.0,3.372e+03,3.357e+01,4.251e+01,3.448e+03
12.6,4.449e+03,2.918e+01,4.279e+01,4.521e+03
14.1,5.871e+03,3.197e+01,4.126e+01,5.944e+03
15.7,7.363e+03,2.968e+01,4.092e+01,7.434e+03
17.3,9.129e+03,3.224e+01,4.624e+01,9.208e+03
18.9,1.124e+04,3.299e+01,4.602e+01,1.132e+04
20.4,1.364e+04,3.622e+01,4.731e+01,1.372e+04
22.0,1.633e+04,5.887e+01,7.190e+01,1.646e+04
23.6,1.858e+04,1.149e+02,1.157e+02,1.881e+04
25.2,2.025e+04,1.235e+02,1.001e+02,2.047e+04
26.7,2.312e+04,9.391e+01,8.613e+01,2.330e+04
28.3,2.700e+04,8.571e+01,1.006e+02,2.718e+04
29.9,3.054e+04,7.947e+01,1.373e+02,3.076e+04
31.4,3.349e+04,6.393e+01,1.634e+02,3.371e+04
33.0,3.733e+04,5.878e+01,1.769e+02,3.756e+04
34.6,4.367e+04,6.185e+01,2.723e+02,4.400e+04
36.2,5.175e+04,9.212e+01,4.554e+02,5.230e+04
37.7,6.247e+04,1.293e+02,5.835e+02,6.318e+04
39.3,7.299e+04,1.589e+02,1.067e+03,7.422e+04
40.9,8.644e+04,1.675e+02,2.183e+03,8.880e+04
42.4,1.037e+05,1.767e+02,3.378e+03,1.072e+05
44.0,1.180e+05,2.964e+02,4.093e+03,1.224e+05
45.6,1.431e+05,6.720e+02,5.983e+03,1.498e+05
47.2,1.825e+05,1.399e+03,9.737e+03,1.936e+05
48.7,2.344e+05,1.285e+03,9.200e+03,2.449e+05
50.3,3.278e+05,6.878e+02,6.537e+03,3.350e+05
51.9,4.501e+05,4.992e+02,6.798e+03,4.574e+05
53.4,6.007e+05,1.104e+03,1.992e+04,6.217e+05
55.0,7.202e+05,2.233e+03,4.732e+04,7.698e+05
56.6,5.942e+05,2.286e+03,5.855e+04,6.550e+05
58.2,3.864e+05,1.622e+03,4.982e+04,4.378e+05
59.7,2.541e+05,1.742e+03,4.323e+04,2.990e+05
61.3,1.738e+05,2.644e+03,4.444e+04,2.209e+05
62.9,1.227e+05,3.164e+03,4.599e+04,1.719e+05
64.4,9.048e+04,3.045e+03,4.368e+04,1.372e+05
66.0,6.632e+04,2.887e+03,3.873e+04,1.079e+05
67.6,4.888e+04,2.584e+03,3.149e+04,8.296e+04
69.2,4.067e+04,2.324e+03,2.669e+04,6.968e+04
70.7,3.918e+04,2.120e+03,2.450e+04,6.580e+04
72.3,4.158e+04,2.220e+03,2.517e+04,6.898e+04
73.9,4.515e+04,2.651e+03,2.817e+04,7.597e+04
75.5,5.171e+04,3.345e+03,3.100e+04,8.605e+04
77.0,6.218e+04,3.756e+03,3.317e+04,9.910e+04
78.6,7.758e+04,3.702e+03,3.540e+04,1.167e+05
80.2,1.020e+05,3.482e+03,3.791e+04,1.434e+05
81.7,1.420e+05,3.415e+03,4.081e+04,1.862e+05
83.3,1.952e+05,3.709e+03,4.412e+04,2.431e+05
84.9,2.356e+05,4.055e+03,4.622e+04,2.859e+05
86.5,2.764e+05,4.541e+03,4.933e+04,3.303e+05
88.0,3.302e+05,5.258e+03,5.436e+04,3.898e+05
89.6,3.755e+05,5.954e+03,5.679e+04,4.382e+05
91.2,4.186e+05,7.227e+03,5.801e+04,4.839e+05
92.7,4.921e+05,9.700e+03,6.230e+04,5.641e+05
94.3,4.903e+05,1.123e+04,5.951e+04,5.610e+05
95.9,4.445e+05,1.245e+04,5.391e+04,5.108e+05
97.5,4.894e+05,1.640e+04,5.750e+04,5.633e+05
99.0,5.225e+05,2.057e+04,6.063e+04,6.038e+05
100.6,5.662e+05,2.294e+04,6.360e+04,6.527e+05
102.2,7.385e+05,2.778e+04,7.451e+04,8.408e+05
103.7,8.574e+05,3.208e+04,8.035e+04,9.699e+05
105.3,7.767e+05,3.450e+04,7.228e+04,8.835e+05
106.9,7.855e+05,4.820e+04,7.554e+04,9.093e+05
108.5,7.305e+05,7.552e+04,8.117e+04,8.872e+05
110.0,6.323e+05,9.955e+04,8.255e+04,8.144e+05
111.6,5.901e+05,9.647e+04,7.590e+04,7.625e+05
113.2,5.311e+05,8.467e+04,6.280e+04,6.786e+05
114.8,4.808e+05,7.229e+04,4.974e+04,6.028e+05
116.3,4.506e+05,6.436e+04,3.589e+04,5.508e+05
117.9,4.251e+05,5.590e+04,2.208e+04,5.031e+05
119.5,3.956e+05,4.826e+04,1.341e+04,4.573e+05
121.0,3.642e+05,4.283e+04,8.346e+03,4.154e+05
122.6,3.342e+05,3.804e+04,5.418e+03,3.776e+05
124.2,3.029e+05,3.326e+04,4.136e+03,3.403e+05
125.8,2.726e+05,3.133e+04,4.184e+03,3.081e+05
127.3,2.466e+05,3.249e+04,5.010e+03,2.841e+05
128.9,2.392e+05,3.959e+04,7.782e+03,2.866e+05
130.5,3.617e+05,6.910e+04,1.997e+04,4.508e+05
132.0,4.574e+05,9.046e+04,3.166e+04,5.796e+05
133.6,1.600e+05,3.149e+04,1.136e+04,2.029e+05
135.2,1.955e+04,3.783e+03,1.056e+03,2.439e+04
136.8,1.500e+04,3.831e+03,9.801e+02,1.981e+04
138.3,1.411e+04,4.541e+03,1.171e+03,1.982e+04
139.9,1.403e+04,5.021e+03,1.366e+03,2.042e+04
141.5,1.416e+04,4.887e+03,1.558e+03,2.061e+04
143.0,1.372e+04,4.663e+03,1.724e+03,2.010e+04
144.6,1.336e+04,4.518e+03,1.822e+03,1.970e+04
146.2,1.352e+04,4.565e+03,1.908e+03,1.999e+04
147.8,1.442e+04,4.979e+03,2.092e+03,2.149e+04
149.3,1.611e+04,6.131e+03,2.384e+03,2.462e+04
150.9,1.615e+04,7.212e+03,2.544e+03,2.591e+04
152.5,1.361e+04,7.707e+03,2.584e+03,2.390e+04
154.0,1.067e+04,8.228e+03,2.507e+03,2.141e+04
155.6,8.158e+03,8.545e+03,2.472e+03,1.918e+04
157.2,7.190e+03,9.010e+03,2.588e+03,1.879e+04
158.8,6.686e+03,9.367e+03,2.602e+03,1.866e+04
160.3,5.991e+03,9.684e+03,2.510e+03,1.819e+04
161.9,5.538e+03,9.371e+03,2.284e+03,1.719e+04
163.5,5.537e+03,8.750e+03,2.018e+03,1.631e+04
165.1,5.224e+03,7.984e+03,1.772e+03,1.498e+04
166.6,4.170e+03,6.915e+03,1.434e+03,1.252e+04
168.2,2.965e+03,5.525e+03,9.879e+02,9.478e+03
169.8,2.011e+03,4.165e+03,6.498e+02,6.825e+03
171.3,1.674e+03,2.801e+03,3.841e+02,4.859e+03
172.9,2.131e+03,1.906e+03,2.510e+02,4.288e+03
174.5,2.429e+03,1.578e+03,2.074e+02,4.214e+03
176.1,2.483e+03,1.400e+03,1.693e+02,4.052e+03
177.6,2.743e+03,1.312e+03,1.637e+02,4.219e+03
179.2,3.215e+03,1.255e+03,1.956e+02,4.666e+03
180.8,3.514e+03,1.201e+03,2.129e+02,4.928e+03
182.3,3.895e+03,1.199e+03,2.582e+02,5.352e+03
183.9,4.405e+03,1.230e+03,2.784e+02,5.914e+03
185.5,4.728e+03,1.231e+03,2.933e+02,6.252e+03
187.1,4.867e+03,1.164e+03,3.261e+02,6.357e+03
188.6,5.146e+03,1.174e+03,3.727e+02,6.693e+03
190.2,5.486e+03,1.205e+03,4.266e+02,7.118e+03
191.8,5.758e+03,1.178e+03,4.535e+02,7.389e+03
193.3,6.086e+03,1.224e+03,4.696e+02,7.780e+03
194.9,6.566e+03,1.281e+03,5.053e+02,8.352e+03
196.5,6.631e+03,1.167e+03,4.770e+02,8.275e+03
198.1,6.823e+03,1.106e+03,4.821e+02,8.411e+03
199.6,7.444e+03,1.188e+03,5.104e+02,9.143e+03
